año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2012,Octubre,Montev y Peron,PB37,1914
2012,Octubre,Potosi y Rawson,PB39,943
2012,Octubre,J. Alvarez y Padilla,PB40,651
2012,Octubre,Chile y Tacuari,PB44,814
2012,Octubre,Serrano y Loyola,PB45,942
2012,Octubre,Gorriti y G. Cruz,PB46,1549
2012,Octubre,Cnel. Diaz y Mansilla,PB48,1155
2012,Octubre,11 de Sep y Monroe,PB49,582
2012,Octubre,Arenales y Montevideo,PB52,1263
2012,Noviembre,Virrey Cevallos y Chile,PB1,2163
2012,Noviembre,Azopar-do y Mexico,PB2,728
2012,Noviembre,Rincon y Carlos Calvo,PB3,2076
2012,Noviembre,Virrey Liniers y C.Calvo,PB6,2302
2012,Noviembre,Billin-ghurst y Peron,PB10,4486
2012,Noviembre,Del Liber-tador y Montevideo,PB11,2493
2012,Noviembre,Corredor Norte y Casares,PB12,4030
2012,Noviembre,EEUU y 33 Orientales,PB32,1281
2012,Noviembre,F. Alcorta y Derecho,PB36,2745
2012,Noviembre,Montev y Peron,PB37,2743
2012,Noviembre,Potosi y Rawson,PB39,1260
2012,Noviembre,J. Alvarez y Padilla,PB40,978
2012,Noviembre,Chile y Tacuari,PB44,1060
2012,Noviembre,Serrano y Loyola,PB45,1437
2012,Noviembre,Gorriti y G. Cruz,PB46,2733
2012,Noviembre,Cnel. Diaz y Mansilla,PB48,2203
2012,Noviembre,11 de Sep y Monroe,PB49,676
2012,Noviembre,Arenales y Montevideo,PB52,1869
2012,Diciembre,Virrey Cevallos y Chile,PB1,2041
2012,Diciembre,Azopar-do y Mexico,PB2,822
2012,Diciembre,Rincon y Carlos Calvo,PB3,2306
2012,Diciembre,Virrey Liniers y C.Calvo,PB6,1989
2012,Diciembre,Billin-ghurst y Peron,PB10,3490
2012,Diciembre,Del Liber-tador y Montevideo,PB11,2123
2012,Diciembre,Corredor Norte y Casares,PB12,2643
2012,Diciembre,EEUU y 33 Orientales,PB32,1063
2012,Diciembre,F. Alcorta y Derecho,PB36,2108
2012,Diciembre,Montev y Peron,PB37,2457
2012,Diciembre,Potosi y Rawson,PB39,1165
2012,Diciembre,J. Alvarez y Padilla,PB40,634
2012,Diciembre,Chile y Tacuari,PB44,949
2012,Diciembre,Serrano y Loyola,PB45,1198
2012,Diciembre,Gorriti y G. Cruz,PB46,2243
2012,Diciembre,Cnel. Diaz y Mansilla,PB48,2294
2012,Diciembre,11 de Sep y Monroe,PB49,864
2012,Diciembre,Arenales y Montevideo,PB52,1902
2013,Enero,Virrey Cevallos y Chile,PB1,1855
2013,Enero,Azopar-do y Mexico,PB2,874
2013,Enero,Rincon y Carlos Calvo,PB3,1541
2013,Enero,Virrey Liniers y C.Calvo,PB6,1601
2013,Enero,Billin-ghurst y Peron,PB10,3701
2013,Enero,Del Liber-tador y Montevideo,PB11,2592
2013,Enero,Corredor Norte y Casares,PB12,3626
2013,Enero,EEUU y 33 Orientales,PB32,1241
2013,Enero,F. Alcorta y Derecho,PB36,2168
2013,Enero,Montev y Peron,PB37,2381
2013,Enero,Potosi y Rawson,PB39,1208
